,,,,,,,,,,,,FY 2015 3-YEAR COHORT DEFAULT RATES,,,
21078,UNIVERSITY OF HAWAII - WEST OAHU                                 ,91-1001 FARRINGTON HIGHWAY                        ,KAPOLEI             ,HI,HAWAII                                                      ,96707,4507,6,Bachelor's Degree,1,Public,2015,20,417,4.7
21086,LONDON ACADEMY OF MUSIC & DRAMATIC ART                           ,155 TALGARTH ROAD                                 ,LONDON              ,FC,ENGLAND             ,W14 9,DA  ,8,Master's Degree or Doctor's Degree,6,Foreign Nonprofit,2015,0,13,0
21102,COLUMBIA COLLEGE HOLLYWOOD                                       ,18618 OXNARD STREET                               ,TARZANA             ,CA,CALIFORNIA                                                  ,91356,1411,6,Bachelor's Degree,2,Nonprofit,2015,28,272,10.2
21108,CALIFORNIA COLLEGE SAN DIEGO                                     ,6602 CONVOY COURT                  SUITE 100      ,SAN DIEGO           ,CA,CALIFORNIA                                                  ,92111,1009,6,Bachelor's Degree,3,For-Profit,2015,78,591,13.1
21109,CATTARAUGUS/ALLEGANY/ERIE/WYOMING BOCES                          ,1825 WINDFALL ROAD                                ,OLEAN               ,NY,NEW YORK                                                    ,14760,9303,3,Non-Degree 1 Year (900-1799 hours),1,Public,2015,6,35,17.1
21113,CUYAMACA COLLEGE                                                 ,900 RANCHO SAN DIEGO PARKWAY                      ,EL CAJON            ,CA,CALIFORNIA                                                  ,92019,4369,5,Associate's Degree,1,Public,2015,14,104,13.4
21116,SOVAH HEALTH SCHOOL OF HEALTH PROFESSIONS                        ,109 BRIDGE STREET                  SUITE 200      ,DANVILLE            ,VA,VIRGINIA                                                    ,24541,2922,5,Associate's Degree,3,For-Profit,2015,5,63,7.9
21122,GREAT LAKES INSTITUTE OF TECHNOLOGY                              ,5100 PEACH STREET                                 ,ERIE                ,PA,PENNSYLVANIA                                                ,16509,2482,5,Associate's Degree,3,For-Profit,2015,37,380,9.7
21127,"NORTH HAVEN ACADEMY, LLC                                         ",97 WASHINGTON AVENUE                              ,NORTH HAVEN         ,CT,CONNECTICUT                                                 ,6473,3108,3,Non-Degree 1 Year (900-1799 hours),3,For-Profit,2015,9,93,9.6
21136,AMERICAN INTERCONTINENTAL UNIVERSITY                             ,231 NORTH MARTINGALE ROAD          6TH FLOOR      ,SCHAUMBURG          ,IL,ILLINOIS                                                    ,60173,2007,8,Master's Degree or Doctor's Degree,3,For-Profit,2015,2260,11403,19.8
21138,ROBERTO-VENN SCHOOL OF LUTHIERY                                  ,1012 NW GRAND AVENUE                              ,PHOENIX             ,AZ,ARIZONA                                                     ,85007,2514,2,Non-Degree (600-899 hours),3,For-Profit,2015,3,48,6.2
21142,JOHNSON COLLEGE                                                  ,3427 NORTH MAIN AVENUE                            ,SCRANTON            ,PA,PENNSYLVANIA                                                ,18508,1495,5,Associate's Degree,2,Nonprofit,2015,31,245,12.6
21153,PINELLAS TECHNICAL COLLEGE - ST. PETERSBURG CAMPUS               ,901 34TH STREET SOUTH                             ,SAINT PETERSBURG    ,FL,FLORIDA                                                     ,33711,2298,3,Non-Degree 1 Year (900-1799 hours),1,Public,2015,0,8,0
21159,UNIVERSITY OF PORTSMOUTH                                         ,WINSTON CHURCHILL AVENUE                          ,PORTSMOUTH          ,FC,ENGLAND             ,PO1 2,UP  ,8,Master's Degree or Doctor's Degree,5,Foreign Public,2015,2,20,10
21163,PUEBLO COMMUNITY COLLEGE                                         ,900 WEST ORMAN AVENUE                             ,PUEBLO              ,CO,COLORADO                                                    ,81004,1499,6,Bachelor's Degree,1,Public,2015,337,1935,17.4
21167,UNIVERSITY OF CAMBRIDGE - LUCY CAVENDISH COLLEGE                 ,LADY MARGARET ROAD                                ,CAMBRIDGE           ,FC,ENGLAND             ,CB3  , 0BU,8,Master's Degree or Doctor's Degree,5,Foreign Public,2015,0,13,0
21169,UPPER VALLEY JOINT VOCATIONAL SCHOOL                             ,8811 CAREER DRIVE                                 ,PIQUA               ,OH,OHIO                                                        ,45356,9237,3,Non-Degree 1 Year (900-1799 hours),1,Public,2015,13,82,15.8
21171,ART INSTITUTE OF HOUSTON (THE)                                   ,4140 SOUTHWEST FREEWAY                            ,HOUSTON             ,TX,TEXAS                                                       ,77027,7311,6,Bachelor's Degree,3,For-Profit,2015,425,2477,17.1
21173,GREAT OAKS CAREER CAMPUSES-SCARLET OAKS                          ,303 SCARLET OAKS DRIVE                            ,SHARONVILLE         ,OH,OHIO                                                        ,45241,1581,3,Non-Degree 1 Year (900-1799 hours),1,Public,2015,9,215,4.1
21174,BECK SCHOOL OF PRACTICAL NURSING                                 ,6137 BECK ROAD                                    ,RED BUD             ,IL,ILLINOIS                                                    ,62278,3368,3,Non-Degree 1 Year (900-1799 hours),1,Public,2015,0,75,0
21175,NAROPA UNIVERSITY                                                ,2130 ARAPAHOE AVENUE                              ,BOULDER             ,CO,COLORADO                                                    ,80302,6697,8,Master's Degree or Doctor's Degree,2,Nonprofit,2015,18,301,5.9
21178,AVEDA INSTITUTE LAFAYETTE                                        ,2922 JOHNSTON STREET                              ,LAFAYETTE           ,LA,LOUISIANA                                                   ,70503,3246,3,Non-Degree 1 Year (900-1799 hours),3,For-Profit,2015,10,88,11.3
21180,LEVITTOWN BEAUTY ACADEMY                                         ,8919 NEW FALLS ROAD                               ,LEVITTOWN           ,PA,PENNSYLVANIA                                                ,19054,1713,3,Non-Degree 1 Year (900-1799 hours),3,For-Profit,2015,5,39,12.8
21191,MISSION COLLEGE                                                  ,3000 MISSION COLLEGE BOULEVARD                    ,SANTA CLARA         ,CA,CALIFORNIA                                                  ,95054,1897,5,Associate's Degree,1,Public,2015,5,52,9.6
21200,UNIVERSITY OF LONDON - THE COURTAULD INSTITUTE OF ART            ,SOMERSET HOUSE                     STRAND         ,LONDON              ,FC,ENGLAND             ,WC2R ,0RN ,8,Master's Degree or Doctor's Degree,5,Foreign Public,2015,0,52,0
21206,SAYBROOK UNIVERSITY                                              ,475 14TH STREET                    FLOOR 9        ,OAKLAND             ,CA,CALIFORNIA                                                  ,94612,1928,8,Master's Degree or Doctor's Degree,2,Nonprofit,2015,4,163,2.4
21207,SAN JOAQUIN VALLEY COLLEGE                                       ,8344  WEST MINERAL KING AVENUE                    ,VISALIA             ,CA,CALIFORNIA                                                  ,93291,9283,6,Bachelor's Degree,3,For-Profit,2015,713,3747,19
21211,MIDWEST INSTITUTE                                                ,2 SOCCER PARK ROAD                                ,FENTON              ,MO,MISSOURI                                                    ,63026,2023,5,Associate's Degree,3,For-Profit,2015,23,140,16.4
21232,AVEDA INSTITUTE                                                  ,400 CENTRAL AVENUE SOUTH EAST                     ,MINNEAPOLIS         ,MN,MINNESOTA                                                   ,55414,1004,3,Non-Degree 1 Year (900-1799 hours),3,For-Profit,2015,50,428,11.6
21240,ORANGE ULSTER BOCES SCHOOL OF PRACTICAL NURSING                  ,4 HARRIMAN DRIVE                                  ,GOSHEN              ,NY,NEW YORK                                                    ,10924,2410,3,Non-Degree 1 Year (900-1799 hours),1,Public,2015,6,51,11.7
21244,UNIVERSITY OF SPA & COSMETOLOGY ARTS                             ,2913 WEST WHITE OAKS DRIVE                        ,SPRINGFIELD         ,IL,ILLINOIS                                                    ,62704,0,3,Non-Degree 1 Year (900-1799 hours),3,For-Profit,2015,6,120,5
21245,FRANKLIN TECHNOLOGY CENTER                                       ,MISSOURI SOUTHERN STATE UNIVERSITY 3950 EAST NEWMA,JOPLIN              ,MO,MISSOURI                                                    ,64801,1595,3,Non-Degree 1 Year (900-1799 hours),1,Public,2015,24,119,20.1
21250,CAREER ACADEMY OF BEAUTY                                         ,12471 VALLEY VIEW STREET                          ,GARDEN GROVE        ,CA,CALIFORNIA                                                  ,92845,2032,3,Non-Degree 1 Year (900-1799 hours),3,For-Profit,2015,7,130,5.3
21252,MARGARET H. ROLLINS SCHOOL OF NURSING AT BEEBE MEDICAL CENTER    ,424 SAVANNAH ROAD                                 ,LEWES               ,DE,DELAWARE                                                    ,19958,1462,4,Non-Degree 2 Years (1800-2699 hours),2,Nonprofit,2015,1,47,2.1
21253,NASHVILLE COLLEGE OF MEDICAL CAREERS                             ,1556 CRESTVIEW DRIVE                              ,MADISON             ,TN,TENNESSEE                                                   ,37115,2120,3,Non-Degree 1 Year (900-1799 hours),3,For-Profit,2015,7,154,4.5
21255,CIRCLE IN THE SQUARE THEATRE SCHOOL                              ,1633 BROADWAY                      AT 50TH STREET ,NEW YORK            ,NY,NEW YORK                                                    ,10019,6795,11,Non-Degree 3 Plus Years (? 2700 hours),2,Nonprofit,2015,6,67,8.9
21256,MICHIGAN COLLEGE OF BEAUTY-TROY                                  ,3498 ROCHESTER ROAD                               ,TROY                ,MI,MICHIGAN                                                    ,48083,5210,3,Non-Degree 1 Year (900-1799 hours),3,For-Profit,2015,39,205,19
21263,MADISON ONEIDA BOCES PRACTICAL NURSING PROGRAM                   ,4937 SPRING ROAD                                  ,VERONA              ,NY,NEW YORK                                                    ,13478,3526,3,Non-Degree 1 Year (900-1799 hours),1,Public,2015,7,53,13.2
21265,ENID BEAUTY COLLEGE                                              ,3905 S. LAMESA DRIVE                              ,ENID                ,OK,OKLAHOMA                                                    ,73703,4767,3,Non-Degree 1 Year (900-1799 hours),3,For-Profit,2015,0,32,0
21274,YTI CAREER INSTITUTE                                             ,1405 WILLIAMS ROAD                                ,YORK                ,PA,PENNSYLVANIA                                                ,17402,9017,5,Associate's Degree,3,For-Profit,2015,173,1065,16.2
21283,INSTITUTE FOR BUSINESS & TECHNOLOGY                              ,2400 WALSH AVENUE                                 ,SANTA CLARA         ,CA,CALIFORNIA                                                  ,95051,1303,5,Associate's Degree,3,For-Profit,2015,110,514,21.4
21286,ART INSTITUTE OF CINCINNATI (THE)                                ,1171 EAST KEMPER ROAD                             ,CINCINNATI          ,OH,OHIO                                                        ,45246,3322,6,Bachelor's Degree,3,For-Profit,2015,7,38,18.4
21290,TRIANGLE TECH                                                    ,222 EAST PITTSBURGH STREET         SUITE A        ,GREENSBURG          ,PA,PENNSYLVANIA                                                ,15601,3304,5,Associate's Degree,3,For-Profit,2015,2,176,1.1
21316,PENNCO TECH                                                      ,99 ERIAL ROAD                                     ,BLACKWOOD           ,NJ,NEW JERSEY                                                  ,8012,9961,4,Non-Degree 2 Years (1800-2699 hours),3,For-Profit,2015,122,594,20.5
21323,FORTIS INSTITUTE                                                 ,201 WILLOWBROOK BOULEVARD          SUITE 200      ,WAYNE               ,NJ,NEW JERSEY                                                  ,7470,7041,3,Non-Degree 1 Year (900-1799 hours),3,For-Profit,2015,140,698,20
21328,NATIONAL CONSERVATORY OF DRAMATIC ARTS                           ,1556 WISCONSIN AVENUE NORTHWEST                   ,WASHINGTON          ,DC,DISTRICT OF ,20007,2758,4,Non-Degree 2 Years (1800-2699 hours),2,Nonprofit,2015,7,50,14
21334,UNIVERSITY OF CAMBRIDGE - SIDNEY SUSSEX COLLEGE                  ,SIDNEY STREET                                     ,CAMBRIDGE           ,FC,ENGLAND             ,CB2  , 3HU,8,Master's Degree or Doctor's Degree,5,Foreign Public,2015,0,9,0
21345,LA' JAMES INTERNATIONAL COLLEGE                                  ,5205 NORTH BRADY STREET                           ,DAVENPORT           ,IA,IOWA                                                        ,52806,3452,4,Non-Degree 2 Years (1800-2699 hours),3,For-Profit,2015,2,39,5.1
21348,OLD TOWN BARBER  COLLEGE                                         ,1211 EAST DOUGLAS                                 ,WICHITA             ,KS,KANSAS                                                      ,67211,1693,3,Non-Degree 1 Year (900-1799 hours),3,For-Profit,2015,10,51,19.6
21366,WISCONSIN LUTHERAN COLLEGE                                       ,8800 WEST BLUEMOUND ROAD                          ,MILWAUKEE           ,WI,WISCONSIN                                                   ,53226,4626,8,Master's Degree or Doctor's Degree,2,Nonprofit,2015,20,358,5.5
21370,ROB ROY ACADEMY                                                  ,ONE SCHOOL STREET                                 ,TAUNTON             ,MA,MASSACHUSETTS                                               ,2780,3121,3,Non-Degree 1 Year (900-1799 hours),3,For-Profit,2015,8,30,26.6
21371,BLACK HILLS BEAUTY COLLEGE                                       ,623 SAINT JOSEPH STREET                           ,RAPID CITY          ,SD,SOUTH DAKOTA                                                ,57701,2718,4,Non-Degree 2 Years (1800-2699 hours),3,For-Profit,2015,3,64,4.6
21383,PALO ALTO UNIVERSITY                                             ,1791 ARASTRADERO ROAD                             ,PALO ALTO           ,CA,CALIFORNIA                                                  ,94304,1337,8,Master's Degree or Doctor's Degree,2,Nonprofit,2015,4,215,1.8
21395,HAWAII INSTITUTE OF HAIR DESIGN                                  ,1128 NUUANU AVENUE                 SUITE 102      ,HONOLULU            ,HI,HAWAII                                                      ,96817,5195,3,Non-Degree 1 Year (900-1799 hours),3,For-Profit,2015,13,65,20
21400,RIVERSIDE COLLEGE OF HEALTH CAREERS                              ,316 MAIN STREET                                   ,NEWPORT NEWS        ,VA,VIRGINIA                                                    ,23601,3808,5,Associate's Degree,2,Nonprofit,2015,2,133,1.5
21404,ST. JOSEPH SCHOOL OF NURSING                                     ,5 WOODWARD AVENUE                                 ,NASHUA              ,NH,NEW HAMPSHIRE                                               ,3060,4161,5,Associate's Degree,2,Nonprofit,2015,3,96,3.1
21407,CANTON CITY SCHOOL DISTRICT ADULT CAREER & TECHNICAL EDUCATION   ,2701 COVENTRY BOULEVARD NORTHEAST                 ,CANTON              ,OH,OHIO                                                        ,44705,1710,3,Non-Degree 1 Year (900-1799 hours),1,Public,2015,19,99,19.1
21408,MARTIN UNIVERSITY                                                ,2186 NORTH SHERMAN DRIVE                          ,INDIANAPOLIS        ,IN,INDIANA                                                     ,46218,3878,8,Master's Degree or Doctor's Degree,2,Nonprofit,2015,60,273,21.9
21415,SAVANNAH COLLEGE OF ART AND DESIGN                               ,342 BULL STREET                                   ,SAVANNAH            ,GA,GEORGIA                                                     ,31401,4592,8,Master's Degree or Doctor's Degree,2,Nonprofit,2015,119,2429,4.8
21420,UNIVERSITY OF CAMBRIDGE - HOMERTON COLLEGE                       ,HILLS ROAD                                        ,CAMBRIDGE           ,FC,ENGLAND             ,CB2  , 8PH,8,Master's Degree or Doctor's Degree,5,Foreign Public,2015,0,11,0
21422,LEX LA RAY TECHNICAL CENTER                                      ,2323 HIGH SCHOOL DRIVE                            ,LEXINGTON           ,MO,MISSOURI                                                    ,64067,1525,3,Non-Degree 1 Year (900-1799 hours),1,Public,2015,1,30,3.3
21434,SALISH KOOTENAI COLLEGE                                          ,58138 US HIGHWAY 93                               ,PABLO               ,MT,MONTANA                                                     ,59855,0,6,Bachelor's Degree,1,Public,2015,9,197,4.5
21435,STERLING COLLEGE                                                 ,16 STERLING DRIVE                                 ,CRAFTSBURY COMMON   ,VT,VERMONT                                                     ,5827,72,6,Bachelor's Degree,2,Nonprofit,2015,2,42,4.7
21440,BEAUTY INSTITUTE (THE)                                           ,1921 UNION BOULEVARD                              ,ALLENTOWN           ,PA,PENNSYLVANIA                                                ,18109,1629,3,Non-Degree 1 Year (900-1799 hours),3,For-Profit,2015,6,57,10.5
21448,VET TECH INSTITUTE OF HOUSTON                                    ,4669 SOUTHWEST FREEWAY             SUITE #100     ,HOUSTON             ,TX,TEXAS                                                       ,77027,9881,5,Associate's Degree,3,For-Profit,2015,15,197,7.6
21451,SCOTT COLLEGE OF COSMETOLOGY                                     ,1502 MARKET STREET                                ,WHEELING            ,WV,WEST VIRGINIA                                               ,26003,3532,4,Non-Degree 2 Years (1800-2699 hours),3,For-Profit,2015,4,49,8.1
21458,CAYUGA ONONDAGA BOCES                                            ,1879 WEST GENESEE STREET ROAD                     ,AUBURN              ,NY,NEW YORK                                                    ,13021,9430,3,Non-Degree 1 Year (900-1799 hours),1,Public,2015,4,40,10
21460,WAYNE - FINGER LAKES BOCES                                       ,121 DRUMLIN COURT                                 ,NEWARK              ,NY,NEW YORK                                                    ,14513,1863,3,Non-Degree 1 Year (900-1799 hours),1,Public,2015,17,158,10.7
21464,INSTITUTE OF AMERICAN INDIAN & ALASKA NATIVE CULTURE & ARTSDEVELO,83 AVAN NU PO ROAD                                ,SANTA FE            ,NM,NEW MEXICO                                                  ,87508,1300,8,Master's Degree or Doctor's Degree,1,Public,2015,12,47,25.5
21466,SOUTH MOUNTAIN COMMUNITY COLLEGE                                 ,7050 SOUTH 24TH STREET                            ,PHOENIX             ,AZ,ARIZONA                                                     ,85042,5898,5,Associate's Degree,1,Public,2015,230,847,27.1
21468,JOE KUBERT SCHOOL OF CARTOON & GRAPHIC ART (THE)                 ,37 MYRTLE AVENUE                                  ,DOVER               ,NJ,NEW JERSEY                                                  ,7801,4054,3,Non-Degree 1 Year (900-1799 hours),3,For-Profit,2015,7,70,10
21482,FASHION FOCUS HAIR ACADEMY                                       ,2184 GULF GATE DRIVE                              ,SARASOTA            ,FL,FLORIDA                                                     ,34231,4815,3,Non-Degree 1 Year (900-1799 hours),3,For-Profit,2015,2,31,6.4
21497,UNIVERSITY OF WINCHESTER (THE)                                   ,SPARKFORD ROAD                     WEST HILL      ,WINCHESTER          ,FC,ENGLAND             ,S022 ,4NR ,8,Master's Degree or Doctor's Degree,5,Foreign Public,2015,0,10,0
21499,PAUL MITCHELL THE SCHOOL-JACKSONVILLE                            ,4624 TOWN CROSSING DRIVE NO 155                   ,JACKSONVILLE        ,FL,FLORIDA                                                     ,32246,4737,3,Non-Degree 1 Year (900-1799 hours),3,For-Profit,2015,22,290,7.5
21506,COSMETOLOGY AND SPA ACADEMY                                      ,700 EAST TERRA COTTA  AVENUE                      ,CRYSTAL LAKE        ,IL,ILLINOIS                                                    ,60014,4003,3,Non-Degree 1 Year (900-1799 hours),3,For-Profit,2015,3,143,2
21515,CENTRAL SUSQUEHANNA LPN CAREER CENTER                            ,1339 SAINT MARY STREET SUITE 2                    ,LEWISBURG           ,PA,PENNSYLVANIA                                                ,17837,8818,3,Non-Degree 1 Year (900-1799 hours),1,Public,2015,1,67,1.4
21519,KEISER UNIVERSITY                                                ,1500 NORTHWEST 49TH STREET                        ,FORT LAUDERDALE     ,FL,FLORIDA                                                     ,33309,3700,8,Master's Degree or Doctor's Degree,2,Nonprofit,2015,1173,10442,11.2
21531,PAUL MITCHELL THE SCHOOL - MURFREESBORO                          ,1720 OLD FORT PARKWAY SUITE L200                  ,MURFREESBORO        ,TN,TENNESSEE                                                   ,37129,3382,3,Non-Degree 1 Year (900-1799 hours),3,For-Profit,2015,24,225,10.6
21536,BROOME DELAWARE TIOGA BOCES PROGRAM OF PRACTICAL NURSING         ,435 GLENWOOD ROAD                                 ,BINGHAMTON          ,NY,NEW YORK                                                    ,13905,1699,3,Non-Degree 1 Year (900-1799 hours),1,Public,2015,5,37,13.5
21540,DIVERS ACADEMY OF THE EASTERN SEABOARD                           ,LAKESIDE BUSINESS PARK             1500 LIBERTY PL,ERIAL               ,NJ,NEW JERSEY                                                  ,8081,1139,3,Non-Degree 1 Year (900-1799 hours),3,For-Profit,2015,6,118,5
21544,BEAU MONDE COLLEGE OF HAIR DESIGN                                ,2201 LLOYD CENTER                  SUITE C304     ,PORTLAND            ,OR,OREGON                                                      ,97232,1315,4,Non-Degree 2 Years (1800-2699 hours),3,For-Profit,2015,5,89,5.6
21553,CHICAGO SCHOOL OF PROFESSIONAL PSYCHOLOGY                        ,617 WEST SEVENTH STREET                           ,LOS ANGELES         ,CA,CALIFORNIA                                                  ,90017,3830,8,Master's Degree or Doctor's Degree,2,Nonprofit,2015,67,1497,4.4
21562,TECHNICAL COLLEGE OF THE ROCKIES                                 ,1765 US HIGHWAY 50 SOUTH                          ,DELTA               ,CO,COLORADO                                                    ,81416,8705,3,Non-Degree 1 Year (900-1799 hours),1,Public,2015,24,96,25
21568,UNIVERSITY OF OTAGO                                              ,CLOCKTOWER BUILDING                LEITH STREET   ,DUNEDIN             ,FC,NEW ZEALAND         ,9016,    ,8,Master's Degree or Doctor's Degree,5,Foreign Public,2015,1,35,2.8
21571,CONCORDE CAREER COLLEGE                                          ,5100 POPLAR AVENUE                 SUITE 132      ,MEMPHIS             ,TN,TENNESSEE                                                   ,38137,132,5,Associate's Degree,3,For-Profit,2015,236,1308,18
21579,ROCHESTER GENERAL-ISABELLA GRAHAM HART SCHOOL OF PRACTICAL NURSIN,1630 PORTLAND AVENUE                              ,ROCHESTER           ,NY,NEW YORK                                                    ,14621,3007,3,Non-Degree 1 Year (900-1799 hours),2,Nonprofit,2015,2,59,3.3
21582,WASHINGTON SARATOGA WARREN HAMILTON ESSEX BOCES                  ,1051 DIX AVENUE                                   ,HUDSON FALLS        ,NY,NEW YORK                                                    ,12839,1053,3,Non-Degree 1 Year (900-1799 hours),1,Public,2015,5,49,10.2
21583,MIFFLIN COUNTY ACADEMY OF SCIENCE AND TECHNOLOGY                 ,700 PITT STREET                                   ,LEWISTOWN           ,PA,PENNSYLVANIA                                                ,17044,1675,3,Non-Degree 1 Year (900-1799 hours),1,Public,2015,3,37,8.1
21584,HARRISON COLLEGE                                                 ,550 EAST WASHINGTON STREET                        ,INDIANAPOLIS        ,IN,INDIANA                                                     ,46204,2611,6,Bachelor's Degree,3,For-Profit,2015,708,3521,20.1
21585,OHIO BUSINESS COLLEGE                                            ,5095 WATERFORD DRIVE                              ,SHEFFIELD           ,OH,OHIO                                                        ,44035,701,5,Associate's Degree,3,For-Profit,2015,162,760,21.3
21586,MR. BELA'S SCHOOL OF COSMETOLOGY                                 ,4100 EAST 11 MILE ROAD                            ,WARREN              ,MI,MICHIGAN                                                    ,48091,1192,3,Non-Degree 1 Year (900-1799 hours),3,For-Profit,2015,5,63,7.9
21588,DON ROBERTS BEAUTY SCHOOL                                        ,1354 WEST LINCOLNWAY                              ,VALPARAISO          ,IN,INDIANA                                                     ,46385,4597,3,Non-Degree 1 Year (900-1799 hours),3,For-Profit,2015,2,53,3.7
21596,BAPTIST COLLEGE OF FLORIDA (THE)                                 ,5400 COLLEGE DRIVE                                ,GRACEVILLE          ,FL,FLORIDA                                                     ,32440,3306,8,Master's Degree or Doctor's Degree,2,Nonprofit,2015,10,138,7.2
21597,NEW HOPE CHRISTIAN COLLEGE                                       ,2155 BAILEY HILL ROAD                             ,EUGENE              ,OR,OREGON                                                      ,97405,1194,6,Bachelor's Degree,2,Nonprofit,2015,7,95,7.3
21601,GENEVA GENERAL HOSPITAL                                          ,GENEVA GENERAL HOSPITAL            196 NORTH STREE,GENEVA              ,NY,NEW YORK                                                    ,14456,1651,5,Associate's Degree,2,Nonprofit,2015,6,99,6
21609,PCI ACADEMY                                                      ,309 KITTY HAWK DRIVE                              ,AMES                ,IA,IOWA                                                        ,50010,6062,4,Non-Degree 2 Years (1800-2699 hours),3,For-Profit,2015,13,126,10.3
21618,MUSICIANS INSTITUTE                                              ,6752 HOLLYWOOD BOULEVARD                          ,HOLLYWOOD           ,CA,CALIFORNIA                                                  ,90028,6157,8,Master's Degree or Doctor's Degree,3,For-Profit,2015,41,480,8.5
21623,"IESE BUSINESS SCHOOL, UNIVERSITY OF NAVARRA                      ","AVENIDA PEARSON, 21                               ",BARCELONA           ,FC,SPAIN               ,8034,    ,8,Master's Degree or Doctor's Degree,6,Foreign Nonprofit,2015,0,59,0
21633,UNIVERSIDAD CENTRAL DEL CARIBE                                   ,AVENIDA LAUREL                     SANTA JUANITA  ,BAYAMON             ,PR,PUERTO RICO                                                 ,960,6032,8,Master's Degree or Doctor's Degree,2,Nonprofit,2015,10,121,8.2
21635,NEW ENGLAND SCHOOL OF PHOTOGRAPHY                                ,274 MOODY STREET                                  ,WALTHAM             ,MA,MASSACHUSETTS                                               ,2453,5201,4,Non-Degree 2 Years (1800-2699 hours),3,For-Profit,2015,10,97,10.3
21636,WILLIAM JAMES COLLEGE                                            ,ONE WELLS AVE                                     ,NEWTON              ,MA,MASSACHUSETTS                                               ,2459,3211,8,Master's Degree or Doctor's Degree,2,Nonprofit,2015,1,175,0.5
21643,DON ROBERTS SCHOOL OF HAIR DESIGN                                ,152 EAST US 30                                    ,SCHERERVILLE        ,IN,INDIANA                                                     ,46375,9999,3,Non-Degree 1 Year (900-1799 hours),3,For-Profit,2015,4,30,13.3
21651,EDP UNIVERSITY OF PUERTO RICO                                    ,560 PONCE DE LEON AVENUE                          ,HATO REY            ,PR,PUERTO RICO                                                 ,919,2303,8,Master's Degree or Doctor's Degree,2,Nonprofit,2015,10,392,2.5
21652,SALON PROFESSIONAL ACADEMY (THE)                                 ,432 NORTH AVENUE                                  ,GRAND JUNCTION      ,CO,COLORADO                                                    ,81501,5309,4,Non-Degree 2 Years (1800-2699 hours),3,For-Profit,2015,2,67,2.9
21660,CENTER FOR ADVANCED STUDIES ON PUERTO RICO & THE CARIBBEAN       ,52 CALLE DEL CRISTO                               ,SAN JUAN            ,PR,PUERTO RICO                                                 ,901,3970,8,Master's Degree or Doctor's Degree,2,Nonprofit,2015,10,70,14.2
21661,ELAINE P. NUNEZ COMMUNITY COLLEGE                                ,3710 PARIS ROAD                                   ,CHALMETTE           ,LA,LOUISIANA                                                   ,70043,1249,5,Associate's Degree,1,Public,2015,97,508,19
21662,ITI TECHNICAL COLLEGE                                            ,13944 AIRLINE HIGHWAY                             ,BATON ROUGE         ,LA,LOUISIANA                                                   ,70817,5927,5,Associate's Degree,3,For-Profit,2015,26,351,7.4
21664,INSTITUTO DE BANCA Y COMERCIO                                    ,"PONCE DE LEON AVE. #61, 70, AND 72                ",HATO REY            ,PR,PUERTO RICO                                                 ,917,1102,5,Associate's Degree,3,For-Profit,2015,6,32,18.7
21674,UNIVERSITY OF CAMBRIDGE - CORPUS CHRISTI COLLEGE                 ,TRUMPINGTON STREET                                ,CAMBRIDGE           ,FC,ENGLAND             ,CB2  , 1RH,8,Master's Degree or Doctor's Degree,5,Foreign Public,2015,0,7,0
21678,ESTES INSTITUTE OF COSMETOLOGY ARTS & SCIENCES                   ,324 EAST MAIN STREET                              ,VISALIA             ,CA,CALIFORNIA                                                  ,93291,6354,3,Non-Degree 1 Year (900-1799 hours),3,For-Profit,2015,4,55,7.2
21686,EAST-WEST UNIVERSITY                                             ,816 SOUTH MICHIGAN AVENUE                         ,CHICAGO             ,IL,ILLINOIS                                                    ,60605,2185,6,Bachelor's Degree,2,Nonprofit,2015,126,463,27.2
21691,DAVIS COLLEGE                                                    ,400 RIVERSIDE DRIVE                               ,JOHNSON CITY        ,NY,NEW YORK                                                    ,13790,2712,6,Bachelor's Degree,2,Nonprofit,2015,11,75,14.6
21696,CLEARFIELD COUNTY CAREER AND TECHNOLOGY CENTER                   ,1620 RIVER ROAD                                   ,CLEARFIELD          ,PA,PENNSYLVANIA                                                ,16830,9702,3,Non-Degree 1 Year (900-1799 hours),1,Public,2015,5,64,7.8
21699,ASSABET VALLEY REGIONAL VOCATIONAL SCHOOL                        ,215 FITCHBURG STREET                              ,MARLBOROUGH         ,MA,MASSACHUSETTS                                               ,1752,1288,3,Non-Degree 1 Year (900-1799 hours),1,Public,2015,4,34,11.7
21700,SWEDISH INSTITUTE                                                ,226 WEST 26TH STREET                              ,NEW YORK            ,NY,NEW YORK                                                    ,10001,6700,5,Associate's Degree,3,For-Profit,2015,60,411,14.5
21702,ALBANY SCHOHARIE SCHENECTADY SARATOGA BOCES PRACTICAL NURSING PRO,1015 WATERVLIET SHAKER ROAD                       ,ALBANY              ,NY,NEW YORK                                                    ,12205,2111,3,Non-Degree 1 Year (900-1799 hours),1,Public,2015,14,131,10.6
21706,UNITED STATES SPORTS ACADEMY                                     ,ONE ACADEMY DRIVE                                 ,DAPHNE              ,AL,ALABAMA                                                     ,36526,7055,8,Master's Degree or Doctor's Degree,2,Nonprofit,2015,16,203,7.8
21715,WESTERN INTERNATIONAL UNIVERSITY                                 ,1601 WEST FOUNTAINHEAD PARKWAY                    ,TEMPE               ,AZ,ARIZONA                                                     ,85282,0,8,Master's Degree or Doctor's Degree,3,For-Profit,2015,42,677,6.2
